case_id,dialogue_mode,time,ego_mediation,imaginal_activation,reflective_response,symbolic_relation,ethical_containment,destabilization_risk,inflation_risk,dialogue_quality,integration_score
1,dream_continuation,1,0.58,0.62,0.42,0.46,0.40,0.48,0.28,0.38,0.36
2,shadow_dialogue,1,0.54,0.82,0.38,0.42,0.36,0.66,0.36,0.32,0.28
3,guide_encounter,1,0.60,0.72,0.44,0.50,0.42,0.52,0.44,0.40,0.38
4,child_figure,1,0.56,0.68,0.40,0.44,0.38,0.56,0.30,0.36,0.34
5,symbolic_scene,1,0.62,0.66,0.46,0.54,0.44,0.46,0.32,0.44,0.42
6,mood_personification,1,0.52,0.76,0.36,0.40,0.34,0.62,0.34,0.30,0.26
7,dream_continuation,8,0.68,0.64,0.58,0.62,0.56,0.34,0.22,0.58,0.60
8,shadow_dialogue,8,0.64,0.76,0.56,0.58,0.54,0.48,0.28,0.52,0.54
9,guide_encounter,8,0.70,0.70,0.62,0.66,0.60,0.36,0.30,0.62,0.64
10,child_figure,8,0.66,0.68,0.58,0.60,0.56,0.38,0.22,0.56,0.58
11,symbolic_scene,8,0.72,0.66,0.64,0.70,0.62,0.30,0.24,0.66,0.68
12,mood_personification,8,0.62,0.72,0.54,0.56,0.52,0.46,0.26,0.50,0.52
13,dream_continuation,16,0.78,0.60,0.74,0.78,0.72,0.20,0.14,0.78,0.82
14,shadow_dialogue,16,0.76,0.68,0.72,0.74,0.72,0.28,0.18,0.72,0.76
15,guide_encounter,16,0.80,0.64,0.78,0.82,0.76,0.18,0.22,0.80,0.84
16,child_figure,16,0.78,0.62,0.74,0.78,0.74,0.20,0.14,0.76,0.80
17,symbolic_scene,16,0.82,0.60,0.80,0.86,0.78,0.16,0.16,0.84,0.88
18,mood_personification,16,0.74,0.66,0.70,0.72,0.70,0.28,0.18,0.70,0.74
19,dream_continuation,24,0.88,0.56,0.88,0.90,0.86,0.10,0.08,0.90,0.94
20,shadow_dialogue,24,0.86,0.60,0.86,0.86,0.86,0.14,0.10,0.84,0.90
21,guide_encounter,24,0.90,0.58,0.90,0.92,0.88,0.10,0.14,0.92,0.94
22,child_figure,24,0.88,0.56,0.88,0.90,0.88,0.10,0.08,0.90,0.92
23,symbolic_scene,24,0.92,0.54,0.92,0.96,0.90,0.08,0.10,0.94,0.98
24,mood_personification,24,0.84,0.60,0.84,0.84,0.84,0.16,0.10,0.82,0.88
