node,cluster,activation,notes
conscious_identity,identity,1.00,Ego-level identity and currently inhabited self-organization
relational_receptivity,capacity,0.42,Capacity for receptivity intimacy and relational openness
judgment_authority,capacity,0.44,Capacity for judgment authority assertion and voice
erotic_imagination,capacity,0.52,Capacity for desire fantasy attraction and symbolic imagination
vulnerability,capacity,0.34,Capacity for dependency openness need and affective exposure
voice_and_assertion,capacity,0.38,Capacity for speech agency boundary and self-claiming
care_and_tenderness,capacity,0.46,Capacity for care tenderness attunement and nurturance
cultural_gender_script,social_coding,0.68,Historically learned coding of qualities as gendered or non-gendered
symbolic_other_figure,personification,0.12,Personified figure carrying projected or unrealized psychic meaning
reflective_mediation,reflection,0.62,Capacity to reflect on projection and differentiate symbol from person
actual_other_person,relationship,0.58,The real relational other distinct from the projected image
