case_id,developmental_context,time,ego_differentiation,relational_security,caregiver_mirroring,bodily_regulation,symbolic_play,affect_regulation,complex_activation,family_tension,symbolic_capacity,developmental_coherence,future_personality
1,secure_play_field,1,0.34,0.72,0.70,0.50,0.52,0.48,0.32,0.24,0.50,0.46,0.34
2,anxious_attachment_field,1,0.28,0.42,0.38,0.34,0.36,0.30,0.62,0.58,0.32,0.20,0.26
3,overcontrolled_family_field,1,0.36,0.48,0.32,0.38,0.28,0.34,0.58,0.54,0.26,0.22,0.30
4,symbolically_rich_family,1,0.32,0.68,0.74,0.48,0.66,0.46,0.34,0.28,0.64,0.50,0.38
5,trauma_disrupted_field,1,0.22,0.28,0.24,0.24,0.20,0.22,0.82,0.78,0.18,0.10,0.18
6,premature_caretaking_field,1,0.40,0.44,0.36,0.32,0.26,0.28,0.66,0.62,0.24,0.18,0.32
7,secure_play_field,6,0.50,0.78,0.76,0.62,0.66,0.60,0.28,0.22,0.66,0.60,0.50
8,anxious_attachment_field,6,0.40,0.52,0.48,0.44,0.46,0.42,0.56,0.50,0.44,0.34,0.40
9,overcontrolled_family_field,6,0.48,0.54,0.42,0.46,0.38,0.42,0.52,0.48,0.36,0.34,0.42
10,symbolically_rich_family,6,0.48,0.74,0.80,0.60,0.76,0.58,0.30,0.24,0.76,0.66,0.54
11,trauma_disrupted_field,6,0.32,0.36,0.30,0.32,0.28,0.30,0.76,0.72,0.26,0.20,0.28
12,premature_caretaking_field,6,0.54,0.50,0.44,0.42,0.34,0.38,0.60,0.56,0.34,0.30,0.44
13,secure_play_field,12,0.68,0.84,0.82,0.76,0.80,0.74,0.22,0.18,0.80,0.78,0.70
14,anxious_attachment_field,12,0.56,0.64,0.58,0.58,0.60,0.54,0.46,0.42,0.58,0.52,0.56
15,overcontrolled_family_field,12,0.62,0.62,0.52,0.58,0.48,0.52,0.44,0.42,0.48,0.50,0.58
16,symbolically_rich_family,12,0.66,0.82,0.86,0.74,0.88,0.72,0.24,0.20,0.88,0.82,0.72
17,trauma_disrupted_field,12,0.46,0.46,0.40,0.44,0.38,0.40,0.66,0.64,0.36,0.36,0.42
18,premature_caretaking_field,12,0.70,0.58,0.50,0.54,0.46,0.48,0.52,0.50,0.44,0.46,0.60
19,secure_play_field,18,0.82,0.90,0.88,0.84,0.90,0.82,0.18,0.16,0.90,0.90,0.84
20,anxious_attachment_field,18,0.70,0.72,0.66,0.68,0.70,0.66,0.36,0.34,0.68,0.68,0.70
21,overcontrolled_family_field,18,0.76,0.70,0.60,0.68,0.58,0.64,0.34,0.34,0.58,0.66,0.72
22,symbolically_rich_family,18,0.80,0.88,0.92,0.82,0.96,0.80,0.20,0.18,0.96,0.92,0.86
23,trauma_disrupted_field,18,0.60,0.56,0.50,0.56,0.50,0.52,0.54,0.52,0.48,0.54,0.58
24,premature_caretaking_field,18,0.84,0.66,0.58,0.64,0.54,0.60,0.44,0.44,0.54,0.62,0.76
