case_id,person_id,time,persona_pattern,role_demand,audience_reward,institutional_reward,inward_complexity,reflective_flexibility,shadow_pressure,status_dependence,persona_strength,persona_rigidity,persona_inward_gap,psychic_strain,burnout_risk,individuation_readiness
1,1,1,flexible_adaptation,0.48,0.34,0.32,0.62,0.74,0.22,0.20,0.42,0.18,0.20,0.18,0.14,0.72
2,1,2,flexible_adaptation,0.50,0.36,0.34,0.72,0.82,0.20,0.18,0.44,0.16,0.28,0.16,0.10,0.82
3,1,3,flexible_adaptation,0.46,0.32,0.30,0.84,0.92,0.16,0.14,0.38,0.10,0.46,0.08,0.02,0.96
4,1,4,flexible_adaptation,0.42,0.28,0.26,0.96,1.04,0.12,0.10,0.34,0.04,0.62,-0.02,-0.06,1.12
5,2,1,professional_overidentification,0.90,0.64,0.86,0.38,0.34,0.54,0.58,1.12,0.96,0.74,1.10,1.02,0.10
6,2,2,professional_overidentification,0.96,0.70,0.92,0.42,0.42,0.58,0.62,1.20,0.98,0.78,1.12,1.04,0.16
7,2,3,professional_overidentification,0.82,0.62,0.78,0.54,0.58,0.44,0.48,0.92,0.66,0.38,0.62,0.56,0.42
8,2,4,professional_overidentification,0.66,0.50,0.60,0.70,0.76,0.32,0.34,0.62,0.38,0.08,0.28,0.20,0.72
9,3,1,moral_persona,0.62,0.86,0.56,0.34,0.28,0.82,0.68,1.06,1.02,0.72,1.18,1.10,0.04
10,3,2,moral_persona,0.66,0.90,0.60,0.40,0.36,0.78,0.64,1.10,0.96,0.70,1.06,0.96,0.16
11,3,3,moral_persona,0.54,0.68,0.46,0.56,0.56,0.58,0.48,0.76,0.62,0.20,0.58,0.50,0.46
12,3,4,moral_persona,0.42,0.50,0.36,0.72,0.78,0.36,0.32,0.48,0.34,0.24,0.22,0.16,0.78
13,4,1,helper_persona,0.78,0.74,0.54,0.42,0.34,0.90,0.54,1.02,0.84,0.60,1.08,1.12,0.06
14,4,2,helper_persona,0.82,0.76,0.56,0.46,0.42,0.86,0.52,1.04,0.78,0.58,0.98,1.02,0.18
15,4,3,helper_persona,0.64,0.58,0.42,0.60,0.62,0.62,0.38,0.70,0.48,0.10,0.48,0.46,0.52
16,4,4,helper_persona,0.46,0.42,0.30,0.78,0.84,0.38,0.24,0.44,0.24,0.34,0.12,0.10,0.86
17,5,1,public_brand_persona,0.58,1.02,0.54,0.30,0.24,0.66,0.92,1.18,1.18,0.88,1.30,1.20,0.02
18,5,2,public_brand_persona,0.62,1.08,0.58,0.34,0.32,0.70,0.96,1.24,1.14,0.90,1.24,1.14,0.10
19,5,3,public_brand_persona,0.52,0.76,0.46,0.52,0.52,0.50,0.66,0.84,0.72,0.32,0.68,0.58,0.38
20,5,4,public_brand_persona,0.38,0.54,0.34,0.72,0.76,0.32,0.42,0.50,0.40,0.22,0.26,0.18,0.74
21,6,1,institutional_authority_persona,0.92,0.64,0.98,0.36,0.30,0.60,0.78,1.24,1.08,0.88,1.22,1.12,0.04
22,6,2,institutional_authority_persona,0.96,0.68,1.04,0.40,0.38,0.62,0.80,1.30,1.06,0.90,1.20,1.10,0.12
23,6,3,institutional_authority_persona,0.78,0.56,0.78,0.56,0.58,0.46,0.54,0.88,0.66,0.32,0.62,0.54,0.46
24,6,4,institutional_authority_persona,0.58,0.44,0.56,0.76,0.80,0.30,0.34,0.54,0.34,0.22,0.22,0.16,0.82
