case_id,person_id,time,shadow_configuration,latent_disowned,ego_identity,cue_intensity,affective_charge,persona_rigidity,reflective_capacity,shadow_discrepancy,shadow_activation,projection_intensity,shame_response,integration_capacity,responsibility_index
1,1,1,moral_purity_shadow,0.72,0.92,0.86,0.74,0.94,0.30,0.04,0.96,1.12,0.72,0.10,0.04
2,1,2,moral_purity_shadow,0.76,0.94,0.82,0.78,0.92,0.38,0.03,0.88,1.00,0.66,0.18,0.14
3,1,3,moral_purity_shadow,0.70,0.88,0.62,0.64,0.74,0.56,0.02,0.54,0.62,0.44,0.42,0.38
4,1,4,moral_purity_shadow,0.58,0.76,0.46,0.48,0.52,0.74,0.02,0.28,0.30,0.24,0.68,0.62
5,2,1,strength_need_shadow,0.80,0.96,0.74,0.88,0.82,0.26,0.02,1.04,1.20,0.86,0.06,0.00
6,2,2,strength_need_shadow,0.84,0.94,0.70,0.80,0.78,0.38,0.01,0.90,1.00,0.72,0.20,0.16
7,2,3,strength_need_shadow,0.72,0.82,0.56,0.66,0.62,0.58,0.01,0.56,0.62,0.48,0.48,0.42
8,2,4,strength_need_shadow,0.62,0.70,0.42,0.48,0.44,0.78,0.00,0.28,0.28,0.26,0.74,0.70
9,3,1,rational_affect_shadow,0.68,0.90,0.78,0.90,0.76,0.32,0.04,0.98,1.10,0.74,0.12,0.06
10,3,2,rational_affect_shadow,0.72,0.88,0.70,0.82,0.70,0.44,0.02,0.76,0.82,0.58,0.32,0.26
11,3,3,rational_affect_shadow,0.64,0.78,0.54,0.62,0.56,0.62,0.01,0.46,0.46,0.38,0.56,0.52
12,3,4,rational_affect_shadow,0.52,0.66,0.40,0.42,0.38,0.82,0.01,0.18,0.14,0.18,0.82,0.80
13,4,1,care_resentment_shadow,0.86,0.78,0.92,0.82,0.84,0.28,0.01,1.16,1.30,0.92,0.04,0.00
14,4,2,care_resentment_shadow,0.88,0.76,0.84,0.76,0.78,0.42,0.01,0.96,1.04,0.78,0.18,0.12
15,4,3,care_resentment_shadow,0.74,0.70,0.58,0.58,0.60,0.62,0.00,0.58,0.58,0.46,0.46,0.42
16,4,4,care_resentment_shadow,0.60,0.64,0.42,0.42,0.42,0.82,0.00,0.24,0.20,0.22,0.78,0.76
17,5,1,success_fragility_shadow,0.76,0.98,0.70,0.78,0.90,0.24,0.04,0.94,1.12,0.80,0.06,0.00
18,5,2,success_fragility_shadow,0.80,0.96,0.66,0.72,0.82,0.38,0.02,0.76,0.86,0.62,0.24,0.18
19,5,3,success_fragility_shadow,0.68,0.82,0.50,0.54,0.62,0.60,0.01,0.46,0.46,0.38,0.52,0.50
20,5,4,success_fragility_shadow,0.54,0.66,0.34,0.40,0.42,0.84,0.01,0.16,0.10,0.18,0.84,0.82
21,6,1,balanced_reflection,0.52,0.60,0.44,0.42,0.32,0.78,0.00,0.18,0.10,0.12,0.78,0.76
22,6,2,balanced_reflection,0.50,0.58,0.40,0.38,0.26,0.92,0.00,0.08,0.00,0.06,0.96,0.94
23,6,3,balanced_reflection,0.46,0.54,0.34,0.32,0.20,1.04,0.00,-0.02,-0.10,0.02,1.10,1.08
24,6,4,balanced_reflection,0.42,0.50,0.28,0.28,0.16,1.16,0.00,-0.12,-0.20,-0.02,1.22,1.20
